profile,index,x,y,z,label,baseX,baseY,baseZ,offX,offY,offZ
"Hand in purple orb from red side","1","52299","35031","51614","","52299","35031","47018","0","0","4596"
"Hand in purple orb from red side","2","53619","35275","51679","","52299","35031","47018","1320","244","4661"
"Hand in purple orb from red side","3","55534","35220","51902","","52299","35031","47018","3235","189","4884"
"Hand in purple orb from red side","4","56924","35057","51327","","52299","35031","47018","4625","26","4309"
"Hand in purple orb from red side","5","56820","35069","49565","","52299","35031","47018","4521","38","2547"
"Hand in purple orb from red side","6","58022","35051","47018","","52299","35031","47018","5723","20","0"
"Preset: Opulent Ordeal General","1","58660","36854","46570"," |cad3cd6Shadow|r |cf25a5a←|r|cad3cd6→|r  |cf25a5aGrapple|r","38573","35354","34951","20087","1500","11619"
"Preset: Opulent Ordeal General","2","41305","36854","46666","     |cedc453Sand|r |cf25a5a←|r|cedc453→|r  |cf25a5aGrapple|r","38573","35354","34951","2732","1500","11715"
"Preset: Opulent Ordeal General","3","49853","36854","57349"," |cad3cd6Shadow|r |cedc453←|r|cad3cd6→|r |cedc453Sand|r     ‌","38573","35354","34951","11280","1500","22398"
"Preset: Opulent Ordeal General","4","49919","36634","34951","|cf25a5aGrapple|r","38573","35354","34951","11346","1280","0"
"Preset: Opulent Ordeal General","5","45731","35520","52100","|cedc453Sand|r","38573","35354","34951","7158","166","17149"
"Preset: Opulent Ordeal General","6","53522","35354","52460","|cad3cd6Shadow|r","38573","35354","34951","14949","0","17509"
"Preset: Opulent Ordeal General","7","38573","37825","38011","|cf25a5aGrapple|r |cad3cd6→|r |cedc453Sand|r    ‌\\\\n\\\\n","38573","35354","34951","0","2471","3060"
"Preset: Opulent Ordeal General","8","61545","37825","38533","|cf25a5aGrapple|r |cedc453→|r |cad3cd6Shadow|r\\\\n\\\\n","38573","35354","34951","22972","2471","3582"
"Preset: Opulent Ordeal General","9","39437","37825","59027","|cedc453Sand|r\\\\n\\\\n","38573","35354","34951","864","2471","24076"
"Preset: Opulent Ordeal General","10","59247","37825","59212","|cad3cd6Shadow|r\\\\n\\\\n","38573","35354","34951","20674","2471","24261"
"Pickup Red in Purple hand to Orange","1","53533","35275","51509","","49970","34951","51509","3563","324","0"
"Pickup Red in Purple hand to Orange","2","55797","35119","52006","","49970","34951","51509","5827","168","497"
"Pickup Red in Purple hand to Orange","3","57281","35055","52051","","49970","34951","51509","7311","104","542"
"Pickup Red in Purple hand to Orange","4","59107","35294","52325","","49970","34951","51509","9137","343","816"
"Pickup Red in Purple hand to Orange","5","59537","35277","53740","","49970","34951","51509","9567","326","2231"
"Pickup Red in Purple hand to Orange","6","58583","35117","55440","","49970","34951","51509","8613","166","3931"
"Pickup Red in Purple hand to Orange","7","57762","35189","56761","","49970","34951","51509","7792","238","5252"
"Pickup Red in Purple hand to Orange","8","57886","34951","58166","","49970","34951","51509","7916","0","6657"
"Pickup Red in Purple hand to Orange","9","58980","34974","59068","","49970","34951","51509","9010","23","7559"
"Pickup Red in Purple hand to Orange","10","56661","34951","58975","","49970","34951","51509","6691","0","7466"
"Pickup Red in Purple hand to Orange","11","54956","35149","58694","","49970","34951","51509","4986","198","7185"
"Pickup Red in Purple hand to Orange","12","53016","35397","58972","","49970","34951","51509","3046","446","7463"
"Pickup Red in Purple hand to Orange","13","51331","35375","58733","","49970","34951","51509","1361","424","7224"
"Pickup Red in Purple hand to Orange","14","49970","35073","57297","","49970","34951","51509","0","122","5788"
"Hand in Orange orb from red side","1","47271","35052","51551","","42247","35040","47089","5024","12","4462"
"Hand in Orange orb from red side","2","45678","35139","50774","","42247","35040","47089","3431","99","3685"
"Hand in Orange orb from red side","3","44073","35093","50422","","42247","35040","47089","1826","53","3333"
"Hand in Orange orb from red side","4","42910","35174","51547","","42247","35040","47089","663","134","4458"
"Hand in Orange orb from red side","5","43510","35253","52604","","42247","35040","47089","1263","213","5515"
"Hand in Orange orb from red side","6","44688","35392","52410","","42247","35040","47089","2441","352","5321"
"Hand in Orange orb from red side","7","42609","35051","50244","","42247","35040","47089","362","11","3155"
